FUNC_START,init
INT,1
DRAW_OBJ
MSG,1,これはカッターナイフです
ERASE_OBJ
FUNC_END,init
FUNC_START,strap
VAR,10
INT,0
GE
IF,00000026
INT,3
ITEM_CHK
VAR,0
IF,00000025
SEL,2,カッターナイフで,持ち手を切り取れそうだ
SEL_ANS,2,切り取る,何もしない
SEL_GOTO,00000019,00000022
INT,1
ITEM_ADD
GOTO,00000023
GOTO,00000023
RETURN
GOTO,00000025
GOTO,00000026
MSG,9,取れかけそうな吊り革だ
INT,1
SET,1,10
FUNC_END,strap
FUNC_START,memo
INT,4
ITEM_ADD
FUNC_END,memo
FUNC_START,floppy
INT,5
ITEM_ADD
FUNC_END,floppy
FUNC_START,next
FUNC_END,next
FUNC_START,hand1
BOOL,1
SET,16,21
FUNC_END,hand1
END
