FUNC_START,input
INT,5
INT,90
INT,3
PIC_INPUT
VAR,90
INT,50328
EQ
IF,00000014
BOOL,1
SET,16,16
MSG,9,ロックが解除された
GOTO,00000080
MSG,9,正しくないようだ
INT,1
SET,1,91
VAR,91
INT,1
EQ
IF,00000024
BOOL,1
SET,16,90
GOTO,00000080
VAR,91
INT,2
EQ
ELIF,00000031
BOOL,1
SET,16,91
GOTO,00000080
VAR,91
INT,3
EQ
ELIF,00000038
BOOL,1
SET,16,92
GOTO,00000080
VAR,91
INT,4
EQ
ELIF,00000045
BOOL,1
SET,16,93
GOTO,00000080
VAR,91
INT,5
EQ
ELIF,00000052
BOOL,1
SET,16,94
GOTO,00000080
VAR,91
INT,6
EQ
ELIF,00000059
BOOL,1
SET,16,95
GOTO,00000080
VAR,91
INT,7
EQ
ELIF,00000066
BOOL,1
SET,16,96
GOTO,00000080
VAR,91
INT,8
EQ
ELIF,00000073
BOOL,1
SET,16,97
GOTO,00000080
VAR,91
INT,9
EQ
ELIF,00000080
BOOL,1
SET,16,98
GOTO,00000080
FUNC_END,input
FUNC_START,sticker
MSG,9,「衝撃を与えることで扉は開く」と書いてある
FUNC_END,sticker
FUNC_START,complete
COMPLETE
FUNC_END,complete
FUNC_START,hint1
MSG,9,「水素＝H」と書いてある
FUNC_END,hint1
FUNC_START,hint2
MSG,9,「窒素＝N」と書いてある
FUNC_END,hint2
FUNC_START,hint3
MSG,9,「炭素＝C」と書いてある
FUNC_END,hint3
FUNC_START,hint4
MSG,9,「酸素＝O」と書いてある
FUNC_END,hint4
FUNC_START,hint5
MSG,9,「リン＝P」と書いてある
FUNC_END,hint5
FUNC_START,hint6
MSG,9,「硫黄＝S」と書いてある
FUNC_END,hint6
FUNC_START,hint7
MSG,9,「マグネシウム＝Mg」と書いてある
FUNC_END,hint7
FUNC_START,hint8
MSG,9,「ナトリウム＝Na」と書いてある
FUNC_END,hint8
FUNC_START,hint9
MSG,9,「カリウム＝K」と書いてある
FUNC_END,hint9
FUNC_START,star
BOOL,1
SET,16,99
INT,2500
SCORE
FUNC_END,star
END
